"년월일","호기","총량","평균","최대","최소","최대(시간별)","최소(시간별)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24"
"2013-01-26","1","102850.00","4285.00","9488.00","0","9488.00","112","168","0","0","112","533","659","146","839","1002.00","2330.00","2650.00","4430.00","5438.00","5963.00","7470.00","8484.00","9488.00","9021.00","8038.00","8023.00","8070.00","7120.00","6045.00","6821.00"
"2013-01-26","2","67718.00","2822.00","5962.00","0","5962.00","1","222","1","0","236","405","467","314","573","661","1528.00","1837.00","3022.00","3458.00","4056.00","4849.00","5523.00","5962.00","5813.00","5272.00","5176.00","5123.00","4785.00","3984.00","4451.00"
"2013-01-27","1","220088.00","9170.00","11708.00","6988.00","11708.00","6988.00","7130.00","6988.00","7745.00","7614.00","8615.00","9282.00","9574.00","8102.00","9111.00","8776.00","7623.00","8082.00","9764.00","9054.00","8421.00","10425.00","10486.00","11708.00","11650.00","10595.00","11026.00","10180.00","9564.00","8573.00"
"2013-01-27","2","147686.00","6154.00","7771.00","5057.00","7771.00","5057.00","5267.00","5510.00","5652.00","5095.00","5495.00","6191.00","6270.00","5296.00","5889.00","5744.00","5057.00","5190.00","6434.00","6194.00","6288.00","7245.00","7255.00","7771.00","7717.00","6898.00","6968.00","6747.00","6130.00","5383.00"
"2013-01-28","1","50543.00","2106.00","8555.00","0","8555.00","28","8555.00","5496.00","3675.00","3194.00","3499.00","2017.00","1378.00","1430.00","1669.00","1604.00","1826.00","1490.00","2267.00","3954.00","4063.00","1649.00","1114.00","230","66","474","394","471","28","0"
"2013-01-28","2","39241.00","1635.00","5585.00","1","5585.00","1","5585.00","4707.00","3555.00","2461.00","2511.00","1235.00","921","1052.00","1480.00","1333.00","1464.00","1183.00","1739.00","2920.00","3002.00","1261.00","873","273","76","636","381","515","77","1"
"2013-01-29","1","7578.00","316","1441.00","0","1441.00","2","0","0","0","0","34","642","1042.00","698","708","501","1164.00","1441.00","1172.00","172","2","2","0","0","0","0","0","0","0","0"
"2013-01-29","2","5542.00","231","1029.00","0","1029.00","3","0","0","0","0","45","563","868","547","589","278","781","1029.00","760","79","3","0","0","0","0","0","0","0","0","0"
"2013-01-30","1","4338.00","181","1130.00","0","1130.00","15","0","0","0","0","0","0","0","0","0","0","0","15","198","509","971","809","1130.00","674","0","0","0","0","0","32"
"2013-01-30","2","2349.00","98","548","0","548","8","0","0","0","0","0","0","0","0","0","0","0","12","149","287","502","457","548","386","0","0","0","0","0","8"
"2013-01-31","1","65092.00","2712.00","9907.00","56","9907.00","56","56","396","1697.00","2112.00","1185.00","710","1077.00","1617.00","1593.00","2088.00","2851.00","2660.00","1718.00","1703.00","1661.00","1297.00","2023.00","2401.00","3119.00","3499.00","5168.00","4965.00","9589.00","9907.00"
"2013-01-31","2","48655.00","2027.00","7260.00","42","7260.00","42","42","532","1336.00","1683.00","879","611","651","839","830","1229.00","1715.00","1363.00","1120.00","1453.00","1393.00","1081.00","1804.00","1733.00","2631.00","2929.00","4224.00","4114.00","7260.00","7203.00"
"2013-02-01","1","196343.00","8181.00","11172.00","266","11172.00","266","10024.00","10125.00","8235.00","8213.00","9907.00","9164.00","8847.00","9074.00","9151.00","10831.00","11172.00","10853.00","10709.00","7056.00","8288.00","4423.00","266","3071.00","450","3800.00","9557.00","10924.00","11154.00","11049.00"
"2013-02-01","2","127909.00","5330.00","7967.00","22","7967.00","22","5576.00","6471.00","5895.00","4546.00","5310.00","5067.00","4531.00","5282.00","6811.00","7381.00","7924.00","7967.00","6904.00","4589.00","5271.00","2960.00","22","2877.00","546","2617.00","6252.00","7361.00","7821.00","7928.00"
"2013-02-02","1","251042.00","10460.00","11999.00","8019.00","11999.00","8019.00","11307.00","10747.00","8944.00","8946.00","9942.00","9998.00","9993.00","8863.00","9880.00","10410.00","11966.00","11987.00","11958.00","11823.00","11960.00","11732.00","11999.00","10576.00","10002.00","10006.00","10002.00","10007.00","9975.00","8019.00"
"2013-02-02","2","190107.00","7921.00","8006.00","7502.00","8006.00","7502.00","7965.00","7920.00","7582.00","7932.00","7988.00","7993.00","7994.00","7887.00","7967.00","7979.00","7993.00","7990.00","7968.00","7931.00","7977.00","7993.00","7545.00","8005.00","7996.00","8006.00","8000.00","7993.00","8001.00","7502.00"
"2013-02-03","1","100162.00","4173.00","8100.00","215","8100.00","215","4757.00","7110.00","7720.00","7680.00","7419.00","6109.00","5640.00","2519.00","1072.00","215","239","615","1159.00","1712.00","1812.00","1420.00","1222.00","3878.00","5616.00","5492.00","6647.00","8100.00","5624.00","6385.00"
"2013-02-03","2","76303.00","3179.00","7578.00","115","7578.00","115","4561.00","7209.00","7570.00","7578.00","6531.00","5286.00","4200.00","1818.00","710","119","115","428","772","1216.00","1341.00","994","697","1905.00","2867.00","3482.00","3837.00","5814.00","3341.00","3912.00"
"2013-02-04","1","200014.00","8334.00","11997.00","1263.00","11997.00","1263.00","2295.00","1925.00","3659.00","1263.00","3878.00","3784.00","7757.00","9980.00","10001.00","11321.00","11803.00","11997.00","10283.00","8218.00","9896.00","11697.00","11901.00","11682.00","9974.00","9303.00","9533.00","8956.00","9152.00","9756.00"
